# Kick = [    0.000000000000e+00,     1.000000000000e-05,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
        130.22532603       1.52208915e-14    -1.206380597891e-03     2.117631650704e-03     3.494800143535e-03
        131.46556723      -1.09165267e-14    -1.206321605643e-03     2.180556827337e-03     3.495873596412e-03
        132.70580843      -1.51553665e-14    -1.206256867978e-03     2.240161964530e-03     3.497689295302e-03
        133.94604964       1.73725226e-15    -1.206189163957e-03     2.295498773800e-03     3.500241057318e-03
        135.18629084       4.91422161e-15    -1.206124273924e-03     2.345627992592e-03     3.503499593123e-03
        136.42653204       1.60826854e-15    -1.206067970728e-03     2.389589107780e-03     3.507381948725e-03
        137.66677324       2.26297519e-15    -1.206005985223e-03     2.426555569398e-03     3.511858973427e-03
        138.90701444       3.54700078e-15    -1.205922859593e-03     2.455981405163e-03     3.516921317621e-03
        140.14725564      -2.93064876e-15    -1.205831956766e-03     2.477275501547e-03     3.522506742675e-03
        141.38749684      -8.72398832e-16    -1.205740994387e-03     2.490048793900e-03     3.528538154276e-03
        142.62773804      -7.29721326e-15    -1.205644004630e-03     2.494012547179e-03     3.534990421447e-03
        143.86797924       1.34917178e-14    -1.205567128336e-03     2.489119822886e-03     3.541740916256e-03
        145.10822044      -3.15332161e-15    -1.205550621480e-03     2.475560159268e-03     3.548706392053e-03
        146.34846164      -9.25906864e-15    -1.205598108264e-03     2.453478624810e-03     3.555854574662e-03
        147.58870284       2.35376690e-17    -1.205673945555e-03     2.423222570813e-03     3.563040543348e-03
        148.82894404      -1.79433671e-15    -1.205777065209e-03     2.385290757879e-03     3.570156353557e-03
        150.06918524      -1.71765512e-14    -1.205913712040e-03     2.340350983045e-03     3.577190071762e-03
        151.30942644       7.38354400e-15    -1.206095858518e-03     2.289233142023e-03     3.584063056615e-03
        152.54966764       9.45537587e-15    -1.206301237244e-03     2.232867423660e-03     3.590688713168e-03
        153.78990884       6.96377808e-15    -1.206533700829e-03     2.172188930117e-03     3.596917111640e-03
        155.03015004       5.33091063e-15    -1.206755099218e-03     2.108227102256e-03     3.602684894964e-03
        156.27039124      -2.00145027e-14    -1.206972609083e-03     2.041997906664e-03     3.607851928652e-03
        157.51063244       1.28690788e-15    -1.207166817263e-03     1.974658713389e-03     3.612439985043e-03
        158.75087364      -4.80528021e-15    -1.207338171556e-03     1.907244488104e-03     3.616344279703e-03
        159.99111484       1.50409714e-16    -1.207459878355e-03     1.840979781306e-03     3.619459902493e-03
        161.23135604      -1.76757340e-14    -1.207537912834e-03     1.776950108447e-03     3.621682759907e-03
        162.47159724       4.70184111e-15    -1.207577779041e-03     1.716150603548e-03     3.623069875352e-03
        163.71183844      -4.02578031e-15    -1.207601994482e-03     1.659356080990e-03     3.623568805406e-03
        164.95207964       1.57502411e-14    -1.207611711835e-03     1.607342403818e-03     3.623130285857e-03
        166.19232084      -7.47677217e-15    -1.207594639318e-03     1.560866928717e-03     3.621759516461e-03
        167.43256204       2.39982302e-15    -1.207547602517e-03     1.520541021755e-03     3.619481925610e-03
        168.67280324       4.36851500e-15    -1.207492023153e-03     1.486804181994e-03     3.616319177620e-03
        169.91304444      -5.77952321e-15    -1.207447271169e-03     1.460035869320e-03     3.612254660665e-03
        171.15328564       4.94227031e-15    -1.207408721830e-03     1.440579274335e-03     3.607283486989e-03
        172.39352685      -1.05712561e-14    -1.207353194280e-03     1.428603629252e-03     3.601497403791e-03
