# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    1.800000    -0.0000000000e+00     0.0000000000e+00     4.0906130917e-01
    1.850000    -0.0000000000e+00     0.0000000000e+00     5.7321569177e-01
    1.900000    -0.0000000000e+00     0.0000000000e+00     7.7443530728e-01
    1.950000    -0.0000000000e+00     0.0000000000e+00     1.0140250588e+00
    2.000000    -0.0000000000e+00     0.0000000000e+00     1.2974348991e+00
    2.050000    -0.0000000000e+00     0.0000000000e+00     1.6387797598e+00
    2.100000    -0.0000000000e+00     0.0000000000e+00     2.0637239545e+00
    2.150000    -0.0000000000e+00     0.0000000000e+00     2.6079578047e+00
    2.200000    -0.0000000000e+00     0.0000000000e+00     3.3093041421e+00
    2.250000    -0.0000000000e+00     0.0000000000e+00     4.1937315068e+00
    2.300000    -0.0000000000e+00     0.0000000000e+00     5.2585744903e+00
    2.350000     0.0000000000e+00     0.0000000000e+00     6.4587526685e+00
    2.400000     0.0000000000e+00     0.0000000000e+00     7.7023094589e+00
    2.450000     0.0000000000e+00     0.0000000000e+00     8.8594066850e+00
    2.500000     0.0000000000e+00     0.0000000000e+00     9.7844975249e+00
    2.550000     0.0000000000e+00     0.0000000000e+00     1.0346441196e+01
    2.600000     0.0000000000e+00     0.0000000000e+00     1.0457956249e+01
    2.650000     0.0000000000e+00     0.0000000000e+00     1.0095572616e+01
    2.700000     0.0000000000e+00    -0.0000000000e+00     9.3042864008e+00
    2.750000     0.0000000000e+00    -0.0000000000e+00     8.1861540335e+00
    2.800000     0.0000000000e+00    -0.0000000000e+00     6.8770284034e+00
    2.850000     0.0000000000e+00    -0.0000000000e+00     5.5187100127e+00
    2.900000     0.0000000000e+00    -0.0000000000e+00     4.2341136031e+00
    2.950000     0.0000000000e+00    -0.0000000000e+00     3.1109567963e+00
    3.000000     0.0000000000e+00    -0.0000000000e+00     2.1961035191e+00
    3.050000     0.0000000000e+00    -0.0000000000e+00     1.4993968605e+00
    3.100000     0.0000000000e+00     0.0000000000e+00     1.0036192309e+00
    3.150000     0.0000000000e+00     0.0000000000e+00     6.7653424939e-01
    3.200000     0.0000000000e+00     0.0000000000e+00     4.8160565164e-01
    3.250000     0.0000000000e+00     0.0000000000e+00     3.8538862337e-01
    3.300000     0.0000000000e+00     0.0000000000e+00     3.6110426799e-01
    3.350000     0.0000000000e+00     0.0000000000e+00     3.8905464696e-01
    3.400000     0.0000000000e+00     0.0000000000e+00     4.5510000830e-01
    3.450000     0.0000000000e+00     0.0000000000e+00     5.4843918734e-01
    3.500000     0.0000000000e+00     0.0000000000e+00     6.5960381607e-01
    3.550000     0.0000000000e+00     0.0000000000e+00     7.7913670385e-01
    3.600000     0.0000000000e+00     0.0000000000e+00     8.9706509408e-01
    3.650000     0.0000000000e+00     0.0000000000e+00     1.0030845231e+00
    3.700000     0.0000000000e+00     0.0000000000e+00     1.0873083329e+00
    3.750000     0.0000000000e+00     0.0000000000e+00     1.1414136714e+00
    3.800000     0.0000000000e+00     0.0000000000e+00     1.1599449982e+00
    3.850000     0.0000000000e+00     0.0000000000e+00     1.1414244073e+00
    3.900000     0.0000000000e+00     0.0000000000e+00     1.0888575232e+00
    3.950000     0.0000000000e+00     0.0000000000e+00     1.0093228382e+00
    4.000000     0.0000000000e+00     0.0000000000e+00     9.1261572390e-01
    4.050000     0.0000000000e+00     0.0000000000e+00     8.0928122304e-01
    4.100000     0.0000000000e+00     0.0000000000e+00     7.0862946120e-01
    4.150000     0.0000000000e+00     0.0000000000e+00     6.1733869024e-01
    4.200000     0.0000000000e+00     0.0000000000e+00     5.3900055858e-01
    4.250000     0.0000000000e+00     0.0000000000e+00     4.7457765313e-01
    4.300000     0.0000000000e+00     0.0000000000e+00     4.2341286665e-01
    4.350000     0.0000000000e+00     0.0000000000e+00     3.8429505767e-01
    4.400000     0.0000000000e+00     0.0000000000e+00     3.5617432795e-01
    4.450000     0.0000000000e+00    -0.0000000000e+00     3.3835488810e-01
    4.500000     0.0000000000e+00    -0.0000000000e+00     3.3024751914e-01
    4.550000     0.0000000000e+00    -0.0000000000e+00     3.3092921686e-01
    4.600000     0.0000000000e+00    -0.0000000000e+00     3.3878620388e-01
    4.650000     0.0000000000e+00    -0.0000000000e+00     3.5142464239e-01
    4.700000     0.0000000000e+00    -0.0000000000e+00     3.6588286268e-01
    4.750000     0.0000000000e+00    -0.0000000000e+00     3.7904501206e-01
    4.800000     0.0000000000e+00     0.0000000000e+00     3.8809471680e-01
