# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    6.950000     0.0000000000e+00     6.4846333722e-02     0.0000000000e+00
    7.000000     0.0000000000e+00     6.3749159504e-02     0.0000000000e+00
    7.050000     0.0000000000e+00     6.1267105162e-02     0.0000000000e+00
    7.100000     0.0000000000e+00     5.7467501423e-02     0.0000000000e+00
    7.150000     0.0000000000e+00     5.2665265699e-02     0.0000000000e+00
    7.200000     0.0000000000e+00     4.7328544566e-02     0.0000000000e+00
    7.250000     0.0000000000e+00     4.1965436350e-02     0.0000000000e+00
    7.300000     0.0000000000e+00     3.7019467710e-02     0.0000000000e+00
    7.350000     0.0000000000e+00     3.2795943704e-02     0.0000000000e+00
    7.400000     0.0000000000e+00     2.9430921849e-02     0.0000000000e+00
    7.450000     0.0000000000e+00     2.6902813126e-02     0.0000000000e+00
    7.500000     0.0000000000e+00     2.5076636682e-02     0.0000000000e+00
    7.550000     0.0000000000e+00     2.3764788108e-02     0.0000000000e+00
    7.600000     0.0000000000e+00     2.2786600164e-02     0.0000000000e+00
    7.650000     0.0000000000e+00     2.2011745124e-02     0.0000000000e+00
    7.700000     0.0000000000e+00     2.1378673001e-02     0.0000000000e+00
    7.750000     0.0000000000e+00     2.0887208892e-02     0.0000000000e+00
    7.800000     0.0000000000e+00     2.0572059505e-02     0.0000000000e+00
    7.850000     0.0000000000e+00     2.0469083924e-02     0.0000000000e+00
    7.900000     0.0000000000e+00     2.0587107221e-02     0.0000000000e+00
    7.950000     0.0000000000e+00     2.0894482247e-02     0.0000000000e+00
    8.000000     0.0000000000e+00     2.1322959026e-02     0.0000000000e+00
    8.050000     0.0000000000e+00     2.1784470792e-02     0.0000000000e+00
    8.100000     0.0000000000e+00     2.2192125728e-02     0.0000000000e+00
    8.150000     0.0000000000e+00     2.2476678849e-02     0.0000000000e+00
    8.200000     0.0000000000e+00     2.2593590016e-02     0.0000000000e+00
    8.250000     0.0000000000e+00     2.2521116766e-02     0.0000000000e+00
    8.300000     0.0000000000e+00     2.2253856016e-02     0.0000000000e+00
    8.350000     0.0000000000e+00     2.1796924049e-02     0.0000000000e+00
    8.400000     0.0000000000e+00     2.1163748133e-02     0.0000000000e+00
    8.450000     0.0000000000e+00     2.0377111361e-02     0.0000000000e+00
    8.500000     0.0000000000e+00     1.9470854432e-02     0.0000000000e+00
    8.550000     0.0000000000e+00     1.8489620895e-02     0.0000000000e+00
    8.600000     0.0000000000e+00     1.7485731455e-02     0.0000000000e+00
    8.650000     0.0000000000e+00     1.6514158838e-02     0.0000000000e+00
    8.700000     0.0000000000e+00     1.5627308795e-02     0.0000000000e+00
    8.750000     0.0000000000e+00     1.4870653209e-02     0.0000000000e+00
    8.800000    -0.0000000000e+00     1.4279057482e-02     0.0000000000e+00
    8.850000    -0.0000000000e+00     1.3873046362e-02     0.0000000000e+00
    8.900000    -0.0000000000e+00     1.3654803650e-02     0.0000000000e+00
    8.950000     0.0000000000e+00     1.3604979989e-02     0.0000000000e+00
    9.000000     0.0000000000e+00     1.3682368105e-02     0.0000000000e+00
    9.050000     0.0000000000e+00     1.3828319987e-02     0.0000000000e+00
    9.100000     0.0000000000e+00     1.3976274118e-02     0.0000000000e+00
    9.150000     0.0000000000e+00     1.4064591296e-02     0.0000000000e+00
    9.200000     0.0000000000e+00     1.4049148387e-02     0.0000000000e+00
    9.250000     0.0000000000e+00     1.3911742878e-02     0.0000000000e+00
    9.300000     0.0000000000e+00     1.3661631063e-02     0.0000000000e+00
    9.350000     0.0000000000e+00     1.3329989248e-02     0.0000000000e+00
    9.400000     0.0000000000e+00     1.2959686112e-02     0.0000000000e+00
    9.450000     0.0000000000e+00     1.2594299745e-02     0.0000000000e+00
    9.500000     0.0000000000e+00     1.2270071783e-02     0.0000000000e+00
    9.550000     0.0000000000e+00     1.2012591037e-02     0.0000000000e+00
    9.600000     0.0000000000e+00     1.1837428392e-02     0.0000000000e+00
    9.650000     0.0000000000e+00     1.1752079036e-02     0.0000000000e+00
    9.700000     0.0000000000e+00     1.1756428433e-02     0.0000000000e+00
    9.750000     0.0000000000e+00     1.1840608264e-02     0.0000000000e+00
    9.800000     0.0000000000e+00     1.1981566390e-02     0.0000000000e+00
    9.850000     0.0000000000e+00     1.2141440959e-02     0.0000000000e+00
    9.900000     0.0000000000e+00     1.2270749666e-02     0.0000000000e+00
    9.950000    -0.0000000000e+00     1.2317368818e-02     0.0000000000e+00
   10.000000    -0.0000000000e+00     1.2239310486e-02     0.0000000000e+00
   10.050000    -0.0000000000e+00     1.2017002599e-02     0.0000000000e+00
   10.100000    -0.0000000000e+00     1.1660391426e-02     0.0000000000e+00
   10.150000    -0.0000000000e+00     1.1207947847e-02     0.0000000000e+00
   10.200000     0.0000000000e+00     1.0717697510e-02     0.0000000000e+00
   10.250000     0.0000000000e+00     1.0253278863e-02     0.0000000000e+00
   10.300000     0.0000000000e+00     9.8695477515e-03     0.0000000000e+00
   10.350000     0.0000000000e+00     9.6019439816e-03     0.0000000000e+00
   10.400000     0.0000000000e+00     9.4620977414e-03     0.0000000000e+00
   10.450000     0.0000000000e+00     9.4398598761e-03     0.0000000000e+00
   10.500000     0.0000000000e+00     9.5099943863e-03     0.0000000000e+00
   10.550000     0.0000000000e+00     9.6407606929e-03     0.0000000000e+00
   10.600000     0.0000000000e+00     9.8016811465e-03     0.0000000000e+00
   10.650000     0.0000000000e+00     9.9686969511e-03     0.0000000000e+00
   10.700000     0.0000000000e+00     1.0126201478e-02     0.0000000000e+00
   10.750000     0.0000000000e+00     1.0266606193e-02     0.0000000000e+00
   10.800000     0.0000000000e+00     1.0388765504e-02     0.0000000000e+00
   10.850000     0.0000000000e+00     1.0496602524e-02     0.0000000000e+00
   10.900000     0.0000000000e+00     1.0598711268e-02     0.0000000000e+00
   10.950000     0.0000000000e+00     1.0708827312e-02     0.0000000000e+00
   11.000000     0.0000000000e+00     1.0846233931e-02     0.0000000000e+00
   11.050000     0.0000000000e+00     1.1034777707e-02     0.0000000000e+00
   11.100000     0.0000000000e+00     1.1299443329e-02     0.0000000000e+00
   11.150000     0.0000000000e+00     1.1660360456e-02     0.0000000000e+00
   11.200000     0.0000000000e+00     1.2125365324e-02     0.0000000000e+00
   11.250000     0.0000000000e+00     1.2683291100e-02     0.0000000000e+00
   11.300000     0.0000000000e+00     1.3300503024e-02     0.0000000000e+00
   11.350000     0.0000000000e+00     1.3922578323e-02     0.0000000000e+00
   11.400000     0.0000000000e+00     1.4481613925e-02     0.0000000000e+00
   11.450000     0.0000000000e+00     1.4907940714e-02     0.0000000000e+00
   11.500000     0.0000000000e+00     1.5143671065e-02     0.0000000000e+00
   11.550000     0.0000000000e+00     1.5154976220e-02     0.0000000000e+00
   11.600000     0.0000000000e+00     1.4940374827e-02     0.0000000000e+00
   11.650000     0.0000000000e+00     1.4533332010e-02     0.0000000000e+00
   11.700000     0.0000000000e+00     1.3998667944e-02     0.0000000000e+00
   11.750000     0.0000000000e+00     1.3423310467e-02     0.0000000000e+00
   11.800000     0.0000000000e+00     1.2902717421e-02     0.0000000000e+00
   11.850000     0.0000000000e+00     1.2524958358e-02     0.0000000000e+00
   11.900000     0.0000000000e+00     1.2355065217e-02     0.0000000000e+00
   11.950000     0.0000000000e+00     1.2422690145e-02     0.0000000000e+00
   12.000000     0.0000000000e+00     1.2715987307e-02     0.0000000000e+00
   12.050000     0.0000000000e+00     1.3183644062e-02     0.0000000000e+00
   12.100000     0.0000000000e+00     1.3745145841e-02     0.0000000000e+00
   12.150000     0.0000000000e+00     1.4307157190e-02     0.0000000000e+00
   12.200000     0.0000000000e+00     1.4782127733e-02     0.0000000000e+00
   12.250000     0.0000000000e+00     1.5104598408e-02     0.0000000000e+00
   12.300000     0.0000000000e+00     1.5241457558e-02     0.0000000000e+00
   12.350000     0.0000000000e+00     1.5194262085e-02     0.0000000000e+00
   12.400000     0.0000000000e+00     1.4993965719e-02     0.0000000000e+00
   12.450000     0.0000000000e+00     1.4690214429e-02    -0.0000000000e+00
   12.500000     0.0000000000e+00     1.4338319269e-02    -0.0000000000e+00
   12.550000     0.0000000000e+00     1.3987074660e-02    -0.0000000000e+00
   12.600000     0.0000000000e+00     1.3670010812e-02    -0.0000000000e+00
   12.650000     0.0000000000e+00     1.3401713945e-02    -0.0000000000e+00
   12.700000     0.0000000000e+00     1.3179628514e-02    -0.0000000000e+00
   12.750000     0.0000000000e+00     1.2990329429e-02    -0.0000000000e+00
   12.800000     0.0000000000e+00     1.2817862598e-02     0.0000000000e+00
   12.850000     0.0000000000e+00     1.2650938829e-02     0.0000000000e+00
   12.900000     0.0000000000e+00     1.2486141578e-02     0.0000000000e+00
   12.950000     0.0000000000e+00     1.2326078966e-02     0.0000000000e+00
   13.000000     0.0000000000e+00     1.2173992835e-02     0.0000000000e+00
   13.050000     0.0000000000e+00     1.2028453615e-02     0.0000000000e+00
   13.100000     0.0000000000e+00     1.1882089017e-02     0.0000000000e+00
   13.150000     0.0000000000e+00     1.1726297591e-02     0.0000000000e+00
   13.200000     0.0000000000e+00     1.1560384670e-02     0.0000000000e+00
   13.250000     0.0000000000e+00     1.1400382486e-02     0.0000000000e+00
   13.300000     0.0000000000e+00     1.1281900805e-02     0.0000000000e+00
   13.350000     0.0000000000e+00     1.1253531692e-02     0.0000000000e+00
   13.400000     0.0000000000e+00     1.1361736063e-02     0.0000000000e+00
   13.450000     0.0000000000e+00     1.1632578467e-02     0.0000000000e+00
   13.500000     0.0000000000e+00     1.2057813675e-02     0.0000000000e+00
   13.550000    -0.0000000000e+00     1.2591485196e-02     0.0000000000e+00
   13.600000    -0.0000000000e+00     1.3158996551e-02     0.0000000000e+00
   13.650000    -0.0000000000e+00     1.3675611536e-02     0.0000000000e+00
   13.700000    -0.0000000000e+00     1.4067863588e-02     0.0000000000e+00
   13.750000    -0.0000000000e+00     1.4290810572e-02     0.0000000000e+00
   13.800000    -0.0000000000e+00     1.4336329902e-02     0.0000000000e+00
   13.850000     0.0000000000e+00     1.4231313927e-02     0.0000000000e+00
   13.900000     0.0000000000e+00     1.4027923247e-02     0.0000000000e+00
   13.950000     0.0000000000e+00     1.3789777517e-02     0.0000000000e+00
   14.000000     0.0000000000e+00     1.3577942822e-02     0.0000000000e+00
   14.050000     0.0000000000e+00     1.3439505259e-02     0.0000000000e+00
   14.100000     0.0000000000e+00     1.3400320207e-02     0.0000000000e+00
   14.150000     0.0000000000e+00     1.3462707011e-02     0.0000000000e+00
   14.200000     0.0000000000e+00     1.3608301160e-02     0.0000000000e+00
   14.250000     0.0000000000e+00     1.3805525890e-02     0.0000000000e+00
   14.300000     0.0000000000e+00     1.4019959964e-02     0.0000000000e+00
   14.350000     0.0000000000e+00     1.4224594845e-02     0.0000000000e+00
   14.400000     0.0000000000e+00     1.4406394414e-02     0.0000000000e+00
   14.450000     0.0000000000e+00     1.4566423272e-02     0.0000000000e+00
   14.500000     0.0000000000e+00     1.4713158904e-02     0.0000000000e+00
   14.550000     0.0000000000e+00     1.4851617813e-02     0.0000000000e+00
   14.600000     0.0000000000e+00     1.4973201670e-02     0.0000000000e+00
   14.650000     0.0000000000e+00     1.5051439065e-02     0.0000000000e+00
   14.700000     0.0000000000e+00     1.5046644863e-02     0.0000000000e+00
   14.750000     0.0000000000e+00     1.4918700357e-02    -0.0000000000e+00
   14.800000     0.0000000000e+00     1.4643341688e-02    -0.0000000000e+00
   14.850000     0.0000000000e+00     1.4225346376e-02    -0.0000000000e+00
   14.900000     0.0000000000e+00     1.3702878826e-02    -0.0000000000e+00
   14.950000     0.0000000000e+00     1.3140696896e-02     0.0000000000e+00
   15.000000     0.0000000000e+00     1.2614381506e-02     0.0000000000e+00
   15.050000     0.0000000000e+00     1.2191199388e-02     0.0000000000e+00
   15.100000     0.0000000000e+00     1.1914177211e-02     0.0000000000e+00
   15.150000     0.0000000000e+00     1.1794255521e-02     0.0000000000e+00
   15.200000     0.0000000000e+00     1.1812049868e-02     0.0000000000e+00
   15.250000     0.0000000000e+00     1.1927378041e-02     0.0000000000e+00
   15.300000     0.0000000000e+00     1.2092606772e-02     0.0000000000e+00
   15.350000     0.0000000000e+00     1.2265483271e-02     0.0000000000e+00
   15.400000     0.0000000000e+00     1.2418113174e-02     0.0000000000e+00
   15.450000     0.0000000000e+00     1.2540434897e-02     0.0000000000e+00
   15.500000     0.0000000000e+00     1.2638297686e-02     0.0000000000e+00
   15.550000     0.0000000000e+00     1.2727682429e-02     0.0000000000e+00
   15.600000     0.0000000000e+00     1.2827467202e-02     0.0000000000e+00
   15.650000     0.0000000000e+00     1.2953243427e-02     0.0000000000e+00
   15.700000     0.0000000000e+00     1.3113958373e-02     0.0000000000e+00
   15.750000     0.0000000000e+00     1.3311807978e-02     0.0000000000e+00
   15.800000     0.0000000000e+00     1.3544396629e-02     0.0000000000e+00
   15.850000     0.0000000000e+00     1.3807418823e-02     0.0000000000e+00
   15.900000     0.0000000000e+00     1.4096409035e-02     0.0000000000e+00
   15.950000     0.0000000000e+00     1.4407228775e-02     0.0000000000e+00
   16.000000     0.0000000000e+00     1.4736127302e-02     0.0000000000e+00
   16.050000     0.0000000000e+00     1.5080567469e-02     0.0000000000e+00
   16.100000    -0.0000000000e+00     1.5441231245e-02     0.0000000000e+00
   16.150000    -0.0000000000e+00     1.5824207370e-02     0.0000000000e+00
   16.200000    -0.0000000000e+00     1.6241342444e-02     0.0000000000e+00
   16.250000    -0.0000000000e+00     1.6706980173e-02     0.0000000000e+00
   16.300000    -0.0000000000e+00     1.7230927944e-02     0.0000000000e+00
   16.350000     0.0000000000e+00     1.7809688188e-02     0.0000000000e+00
   16.400000     0.0000000000e+00     1.8419542240e-02     0.0000000000e+00
   16.450000     0.0000000000e+00     1.9015026663e-02     0.0000000000e+00
   16.500000     0.0000000000e+00     1.9534576970e-02     0.0000000000e+00
   16.550000     0.0000000000e+00     1.9912398074e-02     0.0000000000e+00
   16.600000     0.0000000000e+00     2.0093177612e-02     0.0000000000e+00
   16.650000     0.0000000000e+00     2.0045135556e-02     0.0000000000e+00
   16.700000     0.0000000000e+00     1.9767497192e-02     0.0000000000e+00
   16.750000     0.0000000000e+00     1.9290427371e-02     0.0000000000e+00
   16.800000     0.0000000000e+00     1.8667913191e-02     0.0000000000e+00
   16.850000     0.0000000000e+00     1.7966098898e-02     0.0000000000e+00
   16.900000     0.0000000000e+00     1.7250529654e-02     0.0000000000e+00
   16.950000     0.0000000000e+00     1.6575499001e-02     0.0000000000e+00
   17.000000     0.0000000000e+00     1.5977517177e-02     0.0000000000e+00
   17.050000     0.0000000000e+00     1.5473395230e-02     0.0000000000e+00
   17.100000     0.0000000000e+00     1.5062168689e-02     0.0000000000e+00
   17.150000     0.0000000000e+00     1.4729448237e-02     0.0000000000e+00
   17.200000    -0.0000000000e+00     1.4452814759e-02     0.0000000000e+00
   17.250000    -0.0000000000e+00     1.4207283981e-02     0.0000000000e+00
   17.300000    -0.0000000000e+00     1.3970252787e-02     0.0000000000e+00
   17.350000    -0.0000000000e+00     1.3725467933e-02    -0.0000000000e+00
   17.400000    -0.0000000000e+00     1.3465501215e-02    -0.0000000000e+00
   17.450000    -0.0000000000e+00     1.3192262129e-02    -0.0000000000e+00
   17.500000     0.0000000000e+00     1.2915455954e-02    -0.0000000000e+00
   17.550000     0.0000000000e+00     1.2649524814e-02     0.0000000000e+00
   17.600000     0.0000000000e+00     1.2410118103e-02     0.0000000000e+00
   17.650000     0.0000000000e+00     1.2211136871e-02     0.0000000000e+00
   17.700000     0.0000000000e+00     1.2062821992e-02     0.0000000000e+00
   17.750000     0.0000000000e+00     1.1970594568e-02     0.0000000000e+00
   17.800000     0.0000000000e+00     1.1934002571e-02     0.0000000000e+00
   17.850000     0.0000000000e+00     1.1945524810e-02     0.0000000000e+00
