# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [1e-05, 0, 0]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    5.700000     1.6176397569e-01    -0.0000000000e+00     0.0000000000e+00
    5.750000     1.5809484575e-01    -0.0000000000e+00     0.0000000000e+00
    5.800000     1.5517578074e-01    -0.0000000000e+00     0.0000000000e+00
    5.850000     1.5240351765e-01    -0.0000000000e+00     0.0000000000e+00
    5.900000     1.4960422088e-01    -0.0000000000e+00     0.0000000000e+00
    5.950000     1.4687917505e-01    -0.0000000000e+00     0.0000000000e+00
    6.000000     1.4442579109e-01     0.0000000000e+00     0.0000000000e+00
    6.050000     1.4237473886e-01     0.0000000000e+00     0.0000000000e+00
    6.100000     1.4067246046e-01     0.0000000000e+00     0.0000000000e+00
    6.150000     1.3903095370e-01     0.0000000000e+00     0.0000000000e+00
    6.200000     1.3695789959e-01     0.0000000000e+00     0.0000000000e+00
    6.250000     1.3386431699e-01     0.0000000000e+00     0.0000000000e+00
    6.300000     1.2922470164e-01     0.0000000000e+00     0.0000000000e+00
    6.350000     1.2274423227e-01     0.0000000000e+00     0.0000000000e+00
    6.400000     1.1447992175e-01     0.0000000000e+00     0.0000000000e+00
    6.450000     1.0487383186e-01     0.0000000000e+00     0.0000000000e+00
    6.500000     9.4683826348e-02     0.0000000000e+00     0.0000000000e+00
    6.550000     8.4829980200e-02     0.0000000000e+00     0.0000000000e+00
    6.600000     7.6199729875e-02     0.0000000000e+00     0.0000000000e+00
    6.650000     6.9463720823e-02     0.0000000000e+00     0.0000000000e+00
    6.700000     6.4946560123e-02     0.0000000000e+00     0.0000000000e+00
    6.750000     6.2578202534e-02     0.0000000000e+00     0.0000000000e+00
    6.800000     6.1930330422e-02     0.0000000000e+00     0.0000000000e+00
    6.850000     6.2323620153e-02     0.0000000000e+00     0.0000000000e+00
    6.900000     6.2978732934e-02     0.0000000000e+00     0.0000000000e+00
    6.950000     6.3176803525e-02     0.0000000000e+00     0.0000000000e+00
    7.000000     6.2394581103e-02     0.0000000000e+00     0.0000000000e+00
    7.050000     6.0385923994e-02     0.0000000000e+00     0.0000000000e+00
    7.100000     5.7194813049e-02     0.0000000000e+00     0.0000000000e+00
    7.150000     5.3102765990e-02     0.0000000000e+00     0.0000000000e+00
    7.200000     4.8530439322e-02     0.0000000000e+00     0.0000000000e+00
    7.250000     4.3923701144e-02    -0.0000000000e+00     0.0000000000e+00
    7.300000     3.9655099810e-02    -0.0000000000e+00     0.0000000000e+00
    7.350000     3.5962876249e-02    -0.0000000000e+00     0.0000000000e+00
    7.400000     3.2935504794e-02    -0.0000000000e+00     0.0000000000e+00
    7.450000     3.0535753763e-02    -0.0000000000e+00     0.0000000000e+00
    7.500000     2.8648939893e-02    -0.0000000000e+00     0.0000000000e+00
    7.550000     2.7137225163e-02    -0.0000000000e+00     0.0000000000e+00
    7.600000     2.5884558539e-02     0.0000000000e+00     0.0000000000e+00
    7.650000     2.4822788084e-02     0.0000000000e+00     0.0000000000e+00
    7.700000     2.3936146280e-02     0.0000000000e+00     0.0000000000e+00
    7.750000     2.3247173138e-02     0.0000000000e+00     0.0000000000e+00
    7.800000     2.2791406519e-02     0.0000000000e+00     0.0000000000e+00
    7.850000     2.2590339801e-02     0.0000000000e+00    -0.0000000000e+00
    7.900000     2.2631752535e-02     0.0000000000e+00    -0.0000000000e+00
    7.950000     2.2863420418e-02     0.0000000000e+00    -0.0000000000e+00
    8.000000     2.3201152696e-02     0.0000000000e+00     0.0000000000e+00
    8.050000     2.3546866446e-02     0.0000000000e+00     0.0000000000e+00
    8.100000     2.3809157300e-02     0.0000000000e+00     0.0000000000e+00
    8.150000     2.3918969574e-02     0.0000000000e+00     0.0000000000e+00
    8.200000     2.3836252629e-02     0.0000000000e+00     0.0000000000e+00
    8.250000     2.3548055987e-02     0.0000000000e+00     0.0000000000e+00
    8.300000     2.3061947193e-02     0.0000000000e+00     0.0000000000e+00
    8.350000     2.2399355798e-02     0.0000000000e+00     0.0000000000e+00
    8.400000     2.1591564841e-02     0.0000000000e+00     0.0000000000e+00
    8.450000     2.0678167423e-02     0.0000000000e+00     0.0000000000e+00
    8.500000     1.9705832080e-02     0.0000000000e+00     0.0000000000e+00
    8.550000     1.8725269972e-02     0.0000000000e+00     0.0000000000e+00
    8.600000     1.7786023436e-02     0.0000000000e+00     0.0000000000e+00
    8.650000     1.6930692335e-02     0.0000000000e+00     0.0000000000e+00
    8.700000     1.6191027947e-02     0.0000000000e+00     0.0000000000e+00
    8.750000     1.5587401784e-02     0.0000000000e+00     0.0000000000e+00
    8.800000     1.5131141368e-02    -0.0000000000e+00     0.0000000000e+00
    8.850000     1.4827468641e-02    -0.0000000000e+00    -0.0000000000e+00
    8.900000     1.4676447152e-02    -0.0000000000e+00    -0.0000000000e+00
    8.950000     1.4670703986e-02    -0.0000000000e+00    -0.0000000000e+00
    9.000000     1.4790962165e-02    -0.0000000000e+00    -0.0000000000e+00
    9.050000     1.5002262555e-02    -0.0000000000e+00    -0.0000000000e+00
    9.100000     1.5254063098e-02    -0.0000000000e+00     0.0000000000e+00
    9.150000     1.5485927070e-02    -0.0000000000e+00     0.0000000000e+00
    9.200000     1.5637985763e-02    -0.0000000000e+00     0.0000000000e+00
    9.250000     1.5663081806e-02    -0.0000000000e+00     0.0000000000e+00
    9.300000     1.5536607490e-02    -0.0000000000e+00     0.0000000000e+00
    9.350000     1.5260928904e-02    -0.0000000000e+00     0.0000000000e+00
    9.400000     1.4863396425e-02    -0.0000000000e+00     0.0000000000e+00
    9.450000     1.4389187275e-02     0.0000000000e+00     0.0000000000e+00
    9.500000     1.3891576298e-02     0.0000000000e+00     0.0000000000e+00
    9.550000     1.3422260353e-02     0.0000000000e+00     0.0000000000e+00
    9.600000     1.3023396978e-02     0.0000000000e+00     0.0000000000e+00
    9.650000     1.2721853936e-02     0.0000000000e+00     0.0000000000e+00
    9.700000     1.2525542146e-02     0.0000000000e+00    -0.0000000000e+00
    9.750000     1.2421860743e-02     0.0000000000e+00    -0.0000000000e+00
    9.800000     1.2378851200e-02     0.0000000000e+00    -0.0000000000e+00
